title,text_description,user
Angry Birds,A game where you can throw birds to try and destroy structures,Alex
Snapchat,Send your friend pictures that dissappear after a few seconds,Alex
"Zombies, Run!",Escape from zombies in this fun game,Alex
Geocaching,find hidden treasures and leave something of your own in this competitive gps game,Alex
Netflix,"Watch streaming movies and shows, all you need is a netflix account",Alex
Crazy Helium Video Booth,change your voice with this fun app ,Alex
Tinder,Swipe through short profiles of people in your area and chat if youre both interested and get a date,Alex
Collage Maker Pro,create beautiful creative collages on your device with this app,Alex
Magic Piano by Smule,Everyone can play their favorite songs on their phone-piano!,Alex
Emoji Keyboard Pro,Get new cool fun emojis for your keyboard,Alex
Angry Birds,a game in which you play as birds whose goal is to destroy pigs by shooting themselves at the pigs.,"Gizem
"
Snapchat,an app for chats that let people send photos and videos which get automatically deleted after viewing.,"Gizem
"
"Zombies, Run!",a game in which you have to physically run in order to get away from the zombies in the story.,"Gizem
"
Geocaching,a geocaching game that lets you find hidden caches on the map using gps.,"Gizem
"
Netflix,an app to stream movies and series that are available on netflix for a monthly fee.,"Gizem
"
Crazy Helium Video Booth,an app that lets you change your voice and face in a video to make it sound/look funny.,"Gizem
"
Tinder,it lets you find people that you might like by going through photos of them. you swipe right if you like them and swipe left if you don't.,"Gizem
"
Collage Maker Pro,"a photo app that lets you create collages from your photos. you can also edit them by adding text, frames or photo effects.","Gizem
"
Magic Piano by Smule,an app that lets you play songs on the piano in the app. you just have to follow the dots and tap them.,"Gizem
"
Emoji Keyboard Pro,"a keyboard app that adds additional features to your phone keyboard with emojis, emoticon and stickers. it also has autocorrect and word suggestion.","Gizem
"
Angry Birds,"Game where birds, all with their own abilities, are fired with a slingshot to defeat the pigs laires. 
",Hao
Snapchat,"Surprise your friends with a picture that only shows for mere seconds. Fun with pictures, back and forth.
",Hao
"Zombies, Run!","Fitness application that uses running away from zombies its main theme! 
",Hao
Geocaching,"Treasure hunting, combining real-world items with digital mappings and points. 
",Hao
Netflix,"An online streaming service for series and movies based on subscription. Watch whatever is available, whenever you want",Hao
Crazy Helium Video Booth,"Video modifier / customization tool which deforms your face and changes your voice to a helium balloon effect.
",Hao
Tinder,"Dating / Matching application which works simply by swiping to like or discard. Only your matches are shown.
",Hao
Collage Maker Pro,"A grid based application which simplifcies the making of collages / images with your mobile phone, which uses your photo library. 
",Hao
Magic Piano by Smule,Your phone becomes an instrument and guides you through songs of your choice. Everybody can play!,Hao
Emoji Keyboard Pro,"Keyboard that has it all! extended emoticons, better auto correction and swiping functions to speed up typing. ",Hao
"Physics-based game with birds and pigs
",Game where you use a slingshot to launch birds at structures with pigs in them. The goal is to kill the pigs!,Miriam
"Fun photo chat
",Chat app where you can easily send photo that are removed within seconds from the users' phones.,Miriam
Run from the Zombies!!!,Fitness app which keeps track of how much you run. It set up as a game where you run from zombies.,Miriam
Geocaching App,Go treasure hunting in the real world! The app shows location of geocaches in your area.,Miriam
Video watcher,"App to watch streaming videos from a set catalogue.
",Miriam
Helium Video Maker,Make and share funny videos by changing the pitch of the voice. You can have a helium voice or low bear roar!,Miriam
Dating app,"Dating app where you can quickly browse pictures of potential matches. Swipe to like!
",Miriam
Collage Workshop,Photo editing app which helps you make collages of your photos easily and beautifully.,Miriam
Digital Piano,"Digital piano where you can press piano keys using the touch screen to play the piano.
",Miriam
Emoji Keyboard,"App that helps you to quickly add a wide variety of emoticons to your messages.
",Miriam
Angry Birds,Send birds flying to take down the pigsin the castle,"Peter
"
Snapchat,Send your friend a picture that they can view for a few moments,"Peter
"
"Zombies, Run!",Run!!! Or the zombies will catch you!,"Peter
"
Geocaching,Use geospaciel data to find clues for your next assignement,"Peter
"
Netflix,"Live streaming of movies and series on your phone, tablet, tv and pc","Peter
"
Crazy Helium Video Booth,Let your voice sounde like you lust had helium with this app,"Peter
"
Tinder,Like other's profile and if they like you back you can chat!,"Peter
"
Collage Maker Pro,Make a collage of the images on your phone,"Peter
"
Magic Piano by Smule,Play piano on your phone! Let the app guide you through the songs,"Peter
"
Emoji Keyboard Pro,"It's a keyboard, but then better!","Peter
"
