FIRST_ID,SECOND_ID,SIMILARITY
11,31,"0,4921"
31,11,"0,4921"
2,42,"0,3713"
42,2,"0,3713"
19,49,"0,3591"
49,19,"0,3591"
24,34,"0,3406"
34,24,"0,3406"
21,31,"0,3350"
31,21,"0,3350"
3,6,"0,3182"
6,3,"0,3182"
9,49,"0,3075"
49,9,"0,3075"
39,49,"0,3038"
49,39,"0,3038"
6,16,"0,2973"
16,6,"0,2973"
6,46,"0,2969"
46,6,"0,2969"
15,25,"0,2854"
25,15,"0,2854"
4,14,"0,2844"
14,4,"0,2844"
3,13,"0,2814"
13,3,"0,2814"
29,49,"0,2771"
49,29,"0,2771"
17,47,"0,2642"
47,17,"0,2642"
1,31,"0,2529"
31,1,"0,2529"
7,17,"0,2441"
17,7,"0,2441"
5,25,"0,2429"
25,5,"0,2429"
33,43,"0,2412"
43,33,"0,2412"
19,39,"0,2395"
39,19,"0,2395"
28,48,"0,2357"
48,28,"0,2357"
18,38,"0,2354"
38,18,"0,2354"
16,26,"0,2348"
26,16,"0,2348"
13,33,"0,2253"
33,13,"0,2253"
27,37,"0,2245"
37,27,"0,2245"
13,19,"0,2181"
19,13,"0,2181"
5,35,"0,2176"
35,5,"0,2176"
16,36,"0,2128"
36,16,"0,2128"
9,39,"0,2124"
39,9,"0,2124"
10,20,"0,2095"
20,10,"0,2095"
30,50,"0,2081"
50,30,"0,2081"
1,11,"0,2064"
11,1,"0,2064"
25,45,"0,2056"
45,25,"0,2056"
6,8,"0,2033"
8,6,"0,2033"
13,43,"0,2016"
43,13,"0,2016"
48,49,"0,1992"
49,48,"0,1992"
17,37,"0,1985"
37,17,"0,1985"
28,38,"0,1959"
38,28,"0,1959"
5,15,"0,1926"
15,5,"0,1926"
15,45,"0,1911"
45,15,"0,1911"
6,22,"0,1910"
22,6,"0,1910"
2,22,"0,1855"
22,2,"0,1855"
11,21,"0,1844"
21,11,"0,1844"
32,38,"0,1824"
38,32,"0,1824"
13,34,"0,1815"
34,13,"0,1815"
2,12,"0,1802"
12,2,"0,1802"
9,19,"0,1767"
19,9,"0,1767"
20,30,"0,1752"
30,20,"0,1752"
9,21,"0,1751"
21,9,"0,1751"
17,18,"0,1750"
18,17,"0,1750"
33,35,"0,1690"
35,33,"0,1690"
9,29,"0,1688"
29,9,"0,1688"
16,19,"0,1648"
19,16,"0,1648"
37,40,"0,1629"
40,37,"0,1629"
8,18,"0,1623"
18,8,"0,1623"
18,32,"0,1623"
32,18,"0,1623"
3,4,"0,1622"
4,3,"0,1622"
13,23,"0,1617"
23,13,"0,1617"
5,45,"0,1603"
45,5,"0,1603"
13,31,"0,1601"
31,13,"0,1601"
20,50,"0,1599"
50,20,"0,1599"
2,32,"0,1593"
32,2,"0,1593"
36,46,"0,1574"
46,36,"0,1574"
22,42,"0,1561"
42,22,"0,1561"
38,40,"0,1555"
40,38,"0,1555"
6,10,"0,1535"
10,6,"0,1535"
25,35,"0,1529"
35,25,"0,1529"
11,13,"0,1500"
13,11,"0,1500"
19,31,"0,1486"
31,19,"0,1486"
37,47,"0,1483"
47,37,"0,1483"
3,33,"0,1458"
33,3,"0,1458"
23,33,"0,1448"
33,23,"0,1448"
38,48,"0,1448"
48,38,"0,1448"
45,48,"0,1442"
48,45,"0,1442"
19,29,"0,1441"
29,19,"0,1441"
46,49,"0,1436"
49,46,"0,1436"
1,21,"0,1418"
21,1,"0,1418"
17,19,"0,1416"
19,17,"0,1416"
6,36,"0,1405"
36,6,"0,1405"
23,28,"0,1395"
28,23,"0,1395"
42,47,"0,1379"
47,42,"0,1379"
7,47,"0,1369"
47,7,"0,1369"
3,23,"0,1343"
23,3,"0,1343"
14,19,"0,1337"
19,14,"0,1337"
36,48,"0,1333"
48,36,"0,1333"
7,34,"0,1327"
34,7,"0,1327"
19,34,"0,1307"
34,19,"0,1307"
26,46,"0,1296"
46,26,"0,1296"
18,28,"0,1284"
28,18,"0,1284"
47,50,"0,1276"
50,47,"0,1276"
46,47,"0,1266"
47,46,"0,1266"
8,46,"0,1264"
46,8,"0,1264"
26,36,"0,1225"
36,26,"0,1225"
3,10,"0,1224"
10,3,"0,1224"
19,36,"0,1218"
36,19,"0,1218"
18,19,"0,1187"
19,18,"0,1187"
11,33,"0,1164"
33,11,"0,1164"
10,22,"0,1135"
22,10,"0,1135"
3,43,"0,1131"
43,3,"0,1131"
7,12,"0,1128"
12,7,"0,1128"
10,12,"0,1124"
12,10,"0,1124"
12,38,"0,1122"
38,12,"0,1122"
15,19,"0,1120"
19,15,"0,1120"
16,48,"0,1113"
48,16,"0,1113"
14,39,"0,1110"
39,14,"0,1110"
7,13,"0,1103"
13,7,"0,1103"
31,41,"0,1089"
41,31,"0,1089"
12,35,"0,1084"
35,12,"0,1084"
32,47,"0,1071"
47,32,"0,1071"
30,40,"0,1065"
40,30,"0,1065"
4,21,"0,1051"
21,4,"0,1051"
9,48,"0,1039"
48,9,"0,1039"
36,43,"0,1025"
43,36,"0,1025"
27,28,"0,1025"
28,27,"0,1025"
12,15,"0,1023"
15,12,"0,1023"
13,16,"0,1020"
16,13,"0,1020"
12,49,"0,1018"
49,12,"0,1018"
8,38,"0,1015"
38,8,"0,1015"
31,44,"0,1003"
44,31,"0,1003"
16,38,"0,1003"
38,16,"0,1003"
14,17,"0,1002"
17,14,"0,1002"
10,50,"0,1002"
50,10,"0,1002"
12,42,"0,0995"
42,12,"0,0995"
29,48,"0,0994"
48,29,"0,0994"
11,19,"0,0987"
19,11,"0,0987"
4,6,"0,0981"
6,4,"0,0981"
13,36,"0,0975"
36,13,"0,0975"
2,37,"0,0973"
37,2,"0,0973"
8,28,"0,0973"
28,8,"0,0973"
45,49,"0,0969"
49,45,"0,0969"
19,48,"0,0964"
48,19,"0,0964"
4,13,"0,0964"
13,4,"0,0964"
6,26,"0,0941"
26,6,"0,0941"
3,8,"0,0941"
8,3,"0,0941"
18,36,"0,0940"
36,18,"0,0940"
32,42,"0,0937"
42,32,"0,0937"
17,46,"0,0922"
46,17,"0,0922"
22,47,"0,0919"
47,22,"0,0919"
15,16,"0,0910"
16,15,"0,0910"
12,17,"0,0902"
17,12,"0,0902"
30,33,"0,0901"
33,30,"0,0901"
16,17,"0,0899"
17,16,"0,0899"
3,46,"0,0898"
46,3,"0,0898"
21,32,"0,0895"
32,21,"0,0895"
35,45,"0,0889"
45,35,"0,0889"
12,46,"0,0879"
46,12,"0,0879"
19,41,"0,0875"
41,19,"0,0875"
21,22,"0,0874"
22,21,"0,0874"
6,21,"0,0873"
21,6,"0,0873"
35,36,"0,0865"
36,35,"0,0865"
34,49,"0,0854"
49,34,"0,0854"
5,22,"0,0849"
22,5,"0,0849"
7,29,"0,0843"
29,7,"0,0843"
29,45,"0,0837"
45,29,"0,0837"
27,47,"0,0834"
47,27,"0,0834"
31,34,"0,0830"
34,31,"0,0830"
3,22,"0,0827"
22,3,"0,0827"
14,49,"0,0825"
49,14,"0,0825"
1,33,"0,0824"
33,1,"0,0824"
11,49,"0,0821"
49,11,"0,0821"
28,49,"0,0815"
49,28,"0,0815"
16,46,"0,0813"
46,16,"0,0813"
3,35,"0,0807"
35,3,"0,0807"
3,34,"0,0806"
34,3,"0,0806"
17,38,"0,0804"
38,17,"0,0804"
15,32,"0,0803"
32,15,"0,0803"
32,37,"0,0803"
37,32,"0,0803"
7,37,"0,0803"
37,7,"0,0803"
1,41,"0,0803"
41,1,"0,0803"
21,41,"0,0802"
41,21,"0,0802"
18,43,"0,0800"
43,18,"0,0800"
37,46,"0,0799"
46,37,"0,0799"
17,27,"0,0789"
27,17,"0,0789"
31,39,"0,0787"
39,31,"0,0787"
36,38,"0,0783"
38,36,"0,0783"
17,31,"0,0778"
31,17,"0,0778"
13,35,"0,0774"
