"Saveur","Bonnier Corporation","The March 2015 Issue is Now Available!Highlights include: • Travel Guide: Tasmania - The best places to eat, drink, and stay once you hit Tasmania's shores• The New Breakfast• A Late Winter FeastPlus French Winemakers' secret recipes!You love the magazine, but have you seen Saveur on the iPad? The magazine for people who experience the world food first.  Saveur provides delicious recipes plus:•  Intriguing news, developments, trends and products from around the world •  Rich and satisfying stories about the cultures and environments in which dishes are  created and  the people who create them •  Latest and greatest in culinary books reviewed by notable critics and Saveur editors •  Time-honored dishes, sweet or savory, down-home or exotic•  Recipes that emphasize heritage and tradition, home cooking and real food, and evoking flavors from around  the world •  Stunning photographs & bonus videosIn this app you will find these features:• Preview pages from the current issue • The ability to buy a single issue or subscribe monthly or annually• Social sharing• Complete cover-to-cover issue (including all ads) ***Annual subscriptions availableHow Subscriptions Work: You may purchase subscriptions to Saveur through the in-app store.  Payment will be charged to your iTunes Account at confirmation of purchase.Subscriptions available:- 1-month subscription for US$1.99, automatically renewed until canceled- 1-year subscription (9 issues) for US$19.99, automatically renewed until canceledAUTOMATIC RENEWAL FEATURE:Your subscription will automatically continue (another month for monthly subscribers, another year for annual subscribers) unless auto-renewal is turned off at least 24 hours before the end of the current period. Your credit card will automatically be charged for another subscription period at the current subscription price. You can manage your subscriptions and turn off auto-renewal by going to your iTunes Account Settings after purchase. Subscriptions cannot be canceled during the active subscription period.  For more information, read our privacy policy and terms of use. http://www.bonniercorp.com/privacy_policy.html","Free","Food & Drink","6.9 MB","Bonnier Corporation","2 and a half stars","523 Ratings","https://itunes.apple.com/us/app/saveur/id439719761?mt=8""
"
"4th Grade Splash Math Worksheets to learn decimal numbers, multiplication, division & fractions for kids","StudyPad, Inc.","Splash Math Grade 4 app is a collection of fun and interactive math problems aligned to Common Core Standards. The app reinforces math concepts with self-paced and adaptive practice anytime, anywhere (works on iPhone, iPod, iPad, laptops and desktops). ***Awards & Recognition's for Splash Math Series*** Splash Math Program is currently used by over 9 million kids and has bagged several prestigious awards. • Winner of “Gold Stevie Award” (2013) in “Education and Reference” category • Winner of “Tabby Awards” (2012) in “Best Education and Training App” category • Winner of “Best Elementary Student App” (2011) by BestAppEver.com • Featured in Apple lists - “Staff Favorite”, “New and Newsworthy” ***Splash Math Series Reviews*** ""Of the educational apps that I have reviewed, it is a more expensive application, however, the capabilities and skills that your child(ren) will master will be well worth your money!!"" - www.iear.org ""This is most definitely a well thought out, well designed, educational and entertaining Math app."" - The iPhone Mom ***Program Info*** Content Coverage: 81+ math concepts (Grade 4) Curriculum: Common Core State Standards Access: iPhone, iPod, iPad, desktops and laptops ***Key Features of Splash Math Grade 4*** + Self paced math practice program + Explanation for wrong answers + Scratchpad for rough work + Virtual rewards and games + Monitor progress with real-time progress dashboard + Progress synced across multiple iPhones, iPods, iPads, desktops and laptops. + HD graphics and sound effects to give an amazing game play experience. ***In-app purchase and enrollment options*** Always free: 20 questions/day *** TOPICS COVERED *** StudyPad has the best math apps aligned to common core standards with virtually infinite number of questions. This app covers following topics: 1. Place Value – Read and Write numbers; Place Value up to Hundred Thousands 2. Number Sense - Compare numbers; Order numbers; Round numbers 3. Algebra - Factors; Prime and composite; Multiples; Number patterns 4. Multiplication - Commutative, Associative, Distributive, Identity Property; Multiply by 10, 11, 12; Multiply two digit by one digit, Multiples of 10, 100, 1000; Multiply two digit by two digit numbers 5. Division - Introduction; Divide two digit by one digit, three digit by one digit, four digit by one digit; Divide multiples of 10,100; Remainders; 6. Fraction - Equivalent fractions; Mixed numbers; Compare like fractions; Tenths, Hundredths; Add and Subtract fractions; Add mixed numbers; Multiply fractions by a whole 7. Decimal - Place value; Represent decimals; Decimals and fractions, tenths, hundredths, mixed numbers; Compare and order decimals less than 1, greater than 1 8. Measurement -Relate metric and customary units; Area of simple and complex figures; Perimeter of simple, complex figures; Measure angles; Create angles; Add and subtract angles 9. Geometry – Lines, Rays and Line Segments; Types of angles and triangles; Right angles; Parallel and perpendicular lines; Classify figures; Line of symmetry 10. Addition - Add numbers to hundred thousand, 1 million 11. Subtraction - Subtract numbers to hundred thousand, 1 million *** SPLASH MATH APPS SERIES *** + Splash Math - Grades 1 to 5 App + Kindergarten Math App + 1st Grade Math App + 2nd Grade Math App + 3rd Grade Math App + 4th Grade Math App + 5th Grade Math App ***Contact*** • Facebook: http://www.facebook.com/SplashMath • Twitter: @splashmath • Website: https://www.splashmath.com","Free","Education","339 MB","StudyPad, Inc.","4 stars","65 Ratings","https://itunes.apple.com/us/app/4th-grade-splash-math-worksheets/id492885924?mt=8""
"
"Alaska USA Federal Credit Union","Alaska USA Federal Credit Union","The Alaska USA app combines the most popular features of UltraBranch® along with the ability to deposit checks.With this app you can:•View account balances and recent transactions•Transfer money within accounts or to another Alaska USA member•Deposit checks remotely, up to $3,000 or 10 checks per business day•View pending transactions and transfers•Make payments to your Visa® credit card, mortgage or other Alaska USA loan•Pay bills using Bill Pay•See upcoming credit card or mortgage payment due dates and amounts•Check current rates•Find Alaska USA branch and ATM locations near you•Get quick access to contact information•And more!Not only is the Alaska USA app convenient, easy to use, and efficient – it’s also free!Your information is secure.  The Alaska USA app implements industry-leading security and allows the use of your customized keypad when you log in, giving you an added level of assurance.Use the web browser on your iOS device to log in at alaskausa.org  to access the full version of UltraBranch.Currently tested to be compatible with iOS 6 and 7. Questions?  Call (800) 525-9094 ","Free","Finance","4.5 MB","Alaska USA Federal Credit Union","3 and a half stars","18 Ratings","https://itunes.apple.com/us/app/alaska-usa-federal-credit/id442930588?mt=8""
"
"recipes+ Magazine","PBL MEDIA PTY LTD.","Subscribe today to get your first issue FREE on 1 & 2 month subscriptions. Subscribe for 6 or 12 months and receive a FREE 30 day trial (confirmed at time of purchase for first time subscribers)Enjoy more than 300 scrumptious recipes and helpful cooking tips every month. The recipes are affordable, simple to prepare and cook, and created with readily available supermarket ingredients. The monthly meal planner in each issue, with 20 budget-wise and nutritionally balanced recipes, helps readers save time and money.Download the application to purchase digital replicas of your favourite magazine from inside the Newsstand app.Individual issues are available for only AUD $2.99, or subscribe for your preferred term;2 monthly subscription for AUD $3.99Yearly subscription for AUD $19.99 (12 issues a year)Subscriptions will automatically renew unless auto-renew is switched off at least 24 hours before the end of your current period. The auto renew setting can be found within your iTunes Store account settings on your device.","Free","Food & Drink","18.8 MB","PBL MEDIA PTY LTD.","1 star","6 Ratings","https://itunes.apple.com/us/app/recipes+-magazine/id574676839?mt=8""
"
"MoDOT Traveler Information","Missouri Department of Transportation (MoDOT)","The MoDOT Traveler Information app shows current work zones, incidents, and weather-related road conditions on state-maintained routes in Missouri.  Issues that may have an impact on travel are loaded automatically.Our customer service center can be reached here: 1-888-275-6636 (1-888-ASK-MODOT).The app should be only one tool when making a decision on driving conditions.  Users should also consult local weather forecasts and law enforcement reports.Weather radar is refreshed every 10 minutes.  Only routes with work zones or incidents are displayed in the list report.","Free","Travel","10.8 MB","Missouri Department of Transportation","3 and a half stars","6 Ratings","https://itunes.apple.com/us/app/modot-traveler-information/id568051012?mt=8""
"
"Waterlogged - Drink More Water, Track Daily Water Intake, Get Hydration Remiders","Day Logger, Inc.","You're not drinking enough water. We can help with charts and reminders (upgrade) to keep you going. Every 6 seconds, someone around the world is using Waterlogged to track & improve their daily water intake. Works with Fitbit & more.You'll spend less than 60 seconds a day tracking your water by using photos of your favorite containers. See why it's been featured by Dr. Oz, Apple and Lifehacker, and used by well over a million people around the world.""My Dr recommended this app to me.""— Hdsg27, US App Store, April 2011- Use photos of your cups to quickly record water- Mix oz, mL, and L as much as you want- Maps, Graphs, & Extra Reminders (premium)","Free","Health & Fitness","13.0 MB","Day Logger, Inc.","4 and a half stars","204 Ratings","https://itunes.apple.com/us/app/waterlogged-drink-more-water/id352199775?mt=8""
"
"Skyscanner - Compare Cheap Flights","Skyscanner","35 million people can’t be wrong! Get cheap flights fast with Skyscanner- the world’s best flight search app. Join over 35 million people who have already downloaded our highly-rated apps. Compare millions of flights and hundreds of airlines in seconds. Skyscanner: it’s fast, flexible and free! Need to find cheap flights on the go? Save money and time with Skyscanner. With our comprehensive coverage, you can search millions of flights from hundreds of airlines around the world – both low-cost and scheduled to find the perfect flights at the cheapest price. When you’ve found your flights, we link you to the airline or travel agent so you buy directly and get the best deal – all in a few taps. Features: ‘Everywhere’ search – want to get away, but don’t know where? Let us inspire you with prices for destinations around the world. Filter results by price, cabin class, airline, and departure and times Chart view: see prices across a whole week or month Spin the globe to find destinations from your departure location - see how much you could save if you fly to or from a nearby airport Tab view: easily compare your searches Available in over 30 languages","Free","Travel","26.2 MB","Skyscanner Limited","4 and a half stars","19 Ratings","https://itunes.apple.com/us/app/skyscanner-compare-cheap-flights/id415458524?mt=8""
"
"iHandy Level Free","iHandy Inc.","iHandy Level (one of the 5 tools of iHandy Carpenter toolkit) is now for free! Take this chance to download!""Not only are these tools functional, they're also gorgeous, with woodgrain and lighting effects that makes them seem straight out of Leonardo da Vinci's workshop."" - O'Reilly Media, ""Best iPhone Apps""""Father's Day App for Your #1 Dad"" - CNNThis is definitely the most beautiful and accurate level you can get in hand. **********************************************iHandy Carpenter is on sale now, you are able to get all the 5 tools in one app today at discounted price!Check it out!**********************************************You can use iHandy Level for:- Home decoration- Picture Alignment- Angle measurement- Measure angles of slope, escalator- Measure the verticality of a wall, or furniture- Measure the inclination of an aircraft, ship, car or mountain- Roof pitch calculation- And much more...Enjoy!*** IMPORTANT MESSAGE. PLEASE READ ***Because the sensor inside every individual iPhone/iPod touch could be built slightly differently, to make the level more accurate for your device, you need to calibrate before use.To calibrate:1. Find a flat surface.2. Hold your device upright (in portrait mode and home button at the bottom), put the bottom edge of the device on the flat surface, then press Calibrate button (the one with a target image on it) to calibrate the portrait mode.3. Turn your device 90 degree clockwise (now it should be in landscape mode and home button on the left hand side), again keep it upright, and put the current bottom edge (long edge) on the flat surface, then press Calibrate button to calibrate the landscape mode.4. Put the back of the device against the surface, then press Calibration button to calibrate the face-up mode5. You are ready to go!","Free","Utilities","17.1 MB","iHandySoft Inc.","5 stars","633 Ratings","https://itunes.apple.com/us/app/ihandy-level-free/id299852753?mt=8""
"
"Fitness Pro","Data Supply","Fitness Pro is all about exploring fitness exercises and creating your perfect workout! This beautiful app contains over 1500 exercises that are all explained with clear images and HD videos. Due to its simplicity, it is easy to explore new exercises and create a workout that suits you. It was built by fitness enthusiasts for fitness enthusiasts. Features - 1500+ exercises! - HD video for each exercise! - Simple filter options to find the right exercise fast and easy! - Photo's and Videos of real people (no drawings)!- Create your own workout schemes!- Share workouts with your friends by email! - Easy to import workouts from friends! - Detailed exercise instructions! - User-friendly interface! - No registration!- Default workout routines! Start using Fitness Pro today. You will love it!","Free","Health & Fitness","217 MB","Martijn Gun","2 stars","12 Ratings","https://itunes.apple.com/us/app/fitness-pro/id336826731?mt=8""
"
"Money Network Mobile App","First Data Corporation","The Money Network Mobile App (My MN) is an account management tool for Money Network® cardholders. With My MN, you can have easy, quick access to your Account information anytime, anywhere!","Free","Finance","6.8 MB","First Data Corporation","2 and a half stars","10 Ratings","https://itunes.apple.com/us/app/money-network-mobile-app/id616090626?mt=8""
"
"Zabihah: The Original & World's Largest Guide to Halal Restaurants & Mosques","Halalfire Media LLC","Zabihah brings the world's largest and most comprehensive halal restaurant database to your iPhone.  With it, Muslims and others can immediately locate halal restaurants, mosques, and markets in their area.  Made by the team behind zabihah.com, the original Halal restaurant guide, Zabihah lets you find coupons, vouchers, and special offers from halal restaurants near you.  Over 2,000 halal restaurants around the world have partnered with Zabihah to offer special deals just for you - simply flash the coupon on the app at the counter for instant savings!With Zabihah, you can read and write reviews, review halal authenticity and certification, hours, price and rating, prayer accomodations, and more.  Once you've selected a destination, you can write reviews, upload photos, edit records, find directions, share listings with a friend, and more. Zabihah features over 75,000 user reviews of over 20,000 restaurants, markets, and mosques, submitted since 1998 by tens of thousands of zabihah.com members.  And hundreds of new listings and reviews are contributed each week.Works in North America, UK/Ireland and Europe, Australia & New Zealand, Singapore, Hong Kong, Africa and many other places around the world.","Free","Navigation","0.8 MB","Halalfire Media LLC","4 and a half stars","40 Ratings","https://itunes.apple.com/us/app/zabihah-original-worlds-largest/id325383348?mt=8""
"
"KMOV4","KMOV-TV, Inc","KMOV4 is the only app you need for the latest news and sports headlines as well as geo-targeted weather and traffic that follows you, even if you are not in St. Louis. With more radar views, video channels and relevant content, KMOV4 is the app that never stops working for you. Activate notifications and get alerts for breaking news the moment it happens.","Free","News","16.9 MB","KMOV-TV, Inc","4 stars","25 Ratings","https://itunes.apple.com/us/app/kmov4/id401082205?mt=8""
"
"Feedly. Your RSS news reader.","DevHD","The web is an ocean of knowledge and inspiration. Everyday, new blogs, YouTube channels, Tumblrs and RSS feeds are flourishing. The feedly reader lets you curate and read what matters to you.Millions of people use feedly every day on their iPhone or iPad to connect to the blogs that matter to them. From tech to business to design to cooking to fashion, feedly helps you discover new Youtube channels, blogs or news sites you can add to your feedly and easily read in one place.Because it is powered by RSS, feedly is an open system: you can add any RSS feed to your feedly and easily read the content of that feed on the go. Just enter the URL of that feed in the search bar.Feedly integrates seamlessly with Facebook, Twitter, Evernote, Buffer, OneNote, Pinterest and LinkedIn so that you can easily share the stories you read in your feedly with your friends and colleagues.We believe in speed and simplicity. We spent a lot of time making sure that feedly is the best reader available on the iPhone and the iPad. The app loads fast and offer a simple and clean reading experience which will make your eyes happy.The best way to start is to search of a few blogs and youtube channels you read regularly and add them to your feedly.If you are looking for inspiration, you can open the search panel and browse some of our popular topics and discover the best blogs for tech, business, marketing, entrepreneurship, design, cooking, photography and more.Your mission is to deliver in one place all the knowledge and inspiration you need to keep ahead.Happy reading![We are hello@feedly.com and @feedly if you need support or want to report a bug]","Free","News","15.1 MB","DevHD Inc","4 and a half stars","1133 Ratings","https://itunes.apple.com/us/app/feedly.-your-rss-news-reader./id396069556?mt=8""
"
"Disney Photo Finish","Disney","Grab your best friends and make some awesome photos with Disney Photo Finish!Use over 150 FREE stickers featuring your favorite characters from Star Wars Rebels, Teen Beach Movie, Phineas and Ferb, Kickin It, Mighty Med, Lab Rats, Crash and Bernstein, the Radio Disney Music Awards and Shake It Up! Snap & DecorateSnap a photo or use one already on your device· Adjust and crop· Add, flip, resize and rotate stickers· Apply frames and filters to complete your masterpiece· Or try a Starring Role pack - where you can add your face into one of your favorite Disney Channel and Disney XD shows!  Be sure to come back regularly for awesome new stickers from your favorite Disney Channel and Disney XD shows!","Free","Photo & Video","87.5 MB","Disney Electronic Content, Inc.","4 stars","62 Ratings","https://itunes.apple.com/us/app/disney-photo-finish/id635539283?mt=8""
"
"Last Call","Avvo, Inc.","Don’t have a designated driver? Check your blood-alcohol level with Avvo Last Call!Avvo Last Call allows you to calculate your blood-alcohol level to determine if it’s safe for you to drive after drinking. If not, use Last Call to call a cab. Last Call also provides a list of top local DUI lawyers on Avvo to call for help if you need it. How it works:- Log your alcohol consumption as you drink.- Keep an eye on your blood-alcohol level as Last Call instantly updates it.- Find nearby taxi services if your blood-alcohol level is too high.- Contact a top local DUI attorney on Avvo if you need one. Last Call is provided for entertainment purposes only. Use another method to more accurately determine your BAC level. Don't drink and drive.** Last Call is now on Twitter! Send your questions, comments, and suggestions to http://twitter.com/lastcall_iphone .","Free","Food & Drink","0.3 MB","Avvo, Inc.","3 stars","9333 Ratings","https://itunes.apple.com/us/app/last-call/id288841503?mt=8""
"
"Kamasutra Mastery : The Ultimate Sex Positions Catalogue","Ksenia Tsarkova","Designed with the adventurous in mind!This delightful new App will give you access to multiple sexual positions and much, much more! For ease of use, and depending on your level of skill, you will find that the sexual positions have been divided into sub-sections, as follows:Man on top.For the traditionalists among you, here is a comprehensive list of virtually every possible man on top position, with a well thought out and detailed guide as to how to achieve them!Woman on top.To save boredom in the bedroom, why not switch things around with this huge selection of woman on top positions. No longer will you have to spend time wondering where to put your legs and arms!He’s behind you!Try some of these fabulous Rear Positions and discover how to surprise him as well as yourself!Kneeling positions.Kneeling is not just for praying! Here is a super guide on a wide variety of positions which will give you more variety than you could have dreamed of!No more aerobics!For those who like to make keep fit far more fun, then try from this range of Exercise Positions.Sitting down on the job.Here we have a selection of positions which all require utilizing various pieces of furniture, such as a chair; who said you have to be in the bedroom when you’re feeling in the mood?Advanced Positions.Not for the feint-hearted, these advanced positions will show you how to achieve super-star status in the bedroom!Airplane Positions.For wannabee ‘Mile High’ enthusiasts, these positions show you how to make the most of making out in a confined space. It’s play time!As well as receiving all information for the positions, you can also purchase new sexual games, which are full of fun and designed to enhance every aspect of your sexual relationship. Keeping the boredom out of a long-term relationship is something we believe is an ultra-important way of keeping the relationship fresh and alive.Tracking your progress.You will also be able to track your sexual progress by trying new positions and then placing them in your favorites. Be a Valentine all year round.Learn how to send a ‘Love Coupon’ to your partner, promising them that you will do whatever they want you to, or promise them something specific. Whichever one you choose will be sure to enhance the romance you currently enjoy.And don’t forget that you will also receive all the latest tweets from Kamasutra Mastery when you purchase this App. What do you have to lose, apart from boredom?","Free","Catalogs","38.8 MB","Ksenia Tsarkova","4 stars","226 Ratings","https://itunes.apple.com/us/app/kamasutra-mastery-ultimate/id388927426?mt=8""
"
"Sale Saver LT - Percent Off / Sales Tax Calculator","James Spencer","Sale Saver is the Shopper’s Best Friend - A Must Have for Holiday Shopping!*** Reviews ***- Reviewed by ABC's World New Now (http://tinyurl.com/salesaver)- Featured 'Money Saving' App by CouponCravings.com- Yahoo News: The Best Free iPhone Apps for Black Friday Bargain Hunting. (http://tinyurl.com/yahoosalesaver)- Laptopmag.com: Top 5 Black Friday Apps For Android and iPhoneKey Features:- Fast Sale Price Calculator.- Automatic Tax Calculator.- Personalize the background to anything you want.Upgrade to the full version of Sale Saver and get these features.- Full iPad Support (Universal App)- 100% Ad Free.- Factor in additional overall discounts.- Store sale items in your cart to calculate total savings for the shopping trip.- Setup for any world currency.- Convert between all world currencies with up to date exchange rate data.Quickly calculate the bargain on the rack with easy to use sliders that calculate the final price based on a percent off and your local tax rate. See your savings and final price to decide if your item is the bargain of the century!Those whole-store percentage-off sales are no hassle anymore - from a single page, Sale Saver instantly shows you the sale price for items at various price points, based on your needs. Want to see how much that shirt, pants and belt are at 35% off? One simple screen scrolls to let you know what you’re really saving.Sale Saver is friendly for the world market, with international currencies available. It is also customizable with a variety of fun backgrounds to fit your mood - choose one of the many built-in options or choose one of your own photos from your photo library!Make the leap with Jump Gap Software’s Sale Saver, the app that puts the savings in the palm of your hand.","Free","Finance","22.7 MB","James Spencer","4 stars","20 Ratings","https://itunes.apple.com/us/app/sale-saver-lt-percent-off/id365198409?mt=8""
"
"TruxMap Lite Food Truck Map","F.I. Pardo","TruxMap is a live gourmet food trucks map for 34 US cities and 2 Canadian cities. The minute a food truck makes their current or future whereabouts known, you will see them on the TruxMap app. Menus, reviews, food images, location requests and directions are just one touch away.  The open food trucks are visually represented by green markers and the food trucks opening soon are represented by blue markers.  Quickly scan what food trucks are near you, browse through the menus and food images before making a decision.  Once you've completed eaten the food, submit a review or your truck images so others can know what to expect.TruxMap is available for Atlanta, Austin, Baltimore, Boston, Calgary, Charleston, Chicago, Cincinnati, Cleveland, Columbia, Dallas, Denver, District of Columbia, Honolulu, Houston, Indianapolis, Los Angeles, Las Vegas, Louisville, Miami, Milwaukee, Minneapolis-St Paul, Nashville, New Orleans, New York City, Orlando, Portland, Phoenix, Raleigh-Durham, San Diego, San Francisco, Sacramento, St Louis, San Antonio, Santa Barbara, Seattle, and Vancouver.","Free","Reference","10.6 MB","Ivan Pardo","3 stars","273 Ratings","https://itunes.apple.com/us/app/truxmap-lite-food-truck-map/id391286574?mt=8""
"
"Spine Decide - Patient Engagement Tools for Healthcare Providers","Orca Health, Inc.","A complete patient engagement package, engage your patients anytime, anywhere. •Decrease patient consult time by 30% using the new streamlined interface. •Securely share customized Care Plans and/or prepackaged treatment plans to increase patient satisfaction. •Effectively educate patients using interactive 3D animation, text description, and radiographic imagery of the most common conditions and procedures •Improve patient and surgical retention by utilizing normal/abnormal images and anatomical layers (i.e. bone, ligaments, deep muscle, and superficial muscle) to demonstrate disease progression, enabling patients to make more informed decisions about their care.  •Use photo and video capture to securely share radiographic images, track improvements in range of motion, and reveal gait patterns, etc.  •Drag and drop your own handouts into the clouded content library to share them using Orca’s mobile software.   •Draw, write on, and share any image that appears in the software package. •Tailor rehab exercises to the needs of your patients to help speed up the healing process. Access 60 spine rehabilitation exercise videos. •Orca’s HIPAA-secure portal allows patients to review the information discussed at the point of care.•For your convenience, one login and password accesses all Orca software.","Free","Medical","107 MB","Orca Health, Inc.","4 stars","209 Ratings","https://itunes.apple.com/us/app/spine-decide-patient-engagement/id388760815?mt=8""
"
"Daily Devotion","Woodfield Labs, LLC","“Make this app a part of your routine. You won’t regret it.” — AppAdvice.comJoin thousands of Christians from around the globe who are daily being grounded in the grace of God by means of short, practical, spiritual devotions each morning!Hebrews 13:9 reminds us that it is always ""a good thing that the heart be established with grace.""For this reason the Baptist Bible Hour radio ministry offers ""A Good Thing"" (our daily devotional) through our iPhone/iPad app. In addition to the devotion for each day (easy to read in a couple of minutes or less), you will also be able to listen to the most recent broadcasts, view our website, and access devotionals sorted by date and category. You can also share the devotionals with others by Facebook, email or SMS. Also, you contact the Baptist Bible Hour with any questions or prayer requests that you have.","Free","Reference","5.5 MB","Woodfield Labs, LLC","5 stars","61 Ratings","https://itunes.apple.com/us/app/daily-devotion/id418689709?mt=8""
"
"Wedding Party","micromobs inc.","Wedding Party is the app you need for your wedding. Collect photos from all of your guests and help them stay connected and in the loop as you count down to your big day.- Get all the photos from all your guests in one place - no need for a messy #hashtag.- Automatically organize your photos by event - every moment from engagement to honeymoon goes in beautiful albums.- Message all your guests or create private groups to plan and coordinate with your bridesmaids, family etc.- Guests can take unlimited fun photo booth selfies or create wedding gifs from within the app’s new photo booth! They can save photo strips, squares or videos to share as well! - Use planning features to keep track of dates, share event logistics, and distribute registry and accommodation information.- Bring guests together to connect and share their stories before the wedding.With profiles, guests can meet, share stories & learn about things they have in common with each other before they even meet in person. All your loved ones, from all facets of your lives, will get a chance to come together and connect in a wonderful way. With the built in photo booth guests can capture 4 photos in a row, even selfies and choose one of 3 layouts - photo strip, photo square or a GIF/video, add filters and share it with everyone. These are seriously the best! Include all your registry details, event schedule & hotel/travel information so that your guests can keep track of all the logistics and always have important details about your wedding, right in their pockets!With Wedding Party you can capture some of the most important moments in your life and connect with your guests in a way that has never been possible before!For couples: -Download the app and set up your wedding -Add details for your wedding events (event and venue information, logistics, special instructions etc.) -Get your guests involved by inviting them by text or email -Log in to your dashboard at www.weddingpartyapp.com to download custom placecards, and tips on how to make Wedding Party a success for your wedding -Set up albums for all of your wedding events (we’ve created a few for you already)-Capture and organize all your photos in one place with this beautiful (and free!) appFor guests: -Download the app, register and join a wedding with the custom Wedding Key created by the couple -View the story of the couple’s engagement and wedding journey-Share your best shots from the all of the wedding events - Create photo strips or wedding gifs/videos from the photo booth-Find logistical information like venue names and addresses so you can be at the right place and on time! -Meet other guests and participate in the wedding in an engaging and fun new way","Free","Social Networking","31.2 MB","MicroMobs Inc.","4 and a half stars","954 Ratings","https://itunes.apple.com/us/app/wedding-party/id494214305?mt=8""
"
"iHome Set","iHome","iHome Set is for use with all app-enhanced iHome models. iHome Set requires iOS 4.3 or later on iPhone, iPod touch & iPad. iHome Set provides a convenient interface to set clock, alarms, radio presets, and much more. For devices which support firmware updates, iHome Set will install updates when they are available.A note to iHome App-enhanced product owners:Building on the success of the hardware settings features within the widely popular apps, iHome+Sleep and iHome+Radio, iHome Set provides users a simple, quick-access app for hardware settings, alone. Many loyal users of iHome+Sleep and iHome+Radio requested such an app. We listened, and iHome Set is the result. Thanks very much for the feedback, and we hope many users will find iHome Set makes their iHome products even easier to use. iHome+Sleep and iHome+Radio will continue to offer advanced alarms and internet radio features, respectively. With the presence of iHome Set, Sleep and Radio will continue to evolve in a complementary fashion. We're very excited about what's in store!For more information about iHome apps and app-enhanced products, visit ihomeaudio.com/apps","Free","Utilities","10.1 MB","SDI Technologies","2 stars","137 Ratings","https://itunes.apple.com/us/app/ihome-set/id446037028?mt=8""
"
"Beauty Tips, Tricks & Secrets FREE! Become More Beautiful Plus How to Full Face 365 Mirror Makeup & Makeover Tutorials Genius for Hair, Skin, Eye and Lips!","Michael Quach","Top Beauty Tips! Need to look perfect for a special event?  Want to learn about some really cool and easy beauty tips?This amazing FREE app gives you hundreds of useful quick beauty tips!  Bet you don’t know some of them!Check out these beauty topics: • Skin Care Tips • Hair Care Tips • Nail Care Tips • Lip Tips • Eye Care Tips • Eye Makeup Tips • Eyebrows Tips • Beauty Foods TipsApp Features: - Save your favorite beauty tips!- Share your favorite beauty tips via Email!- SMS your favorite beauty tips!- Post your favorite beauty tips directly to Facebook!  Enjoy!Great reviews from our loyal users:""Great! It's a very good app and gives good beauty tips!  Thank you so much!""""This is an awesome app with the best tips and it's free!""""Best app that helps! I am starting to look better everyday.  Tells you everything you want to know about looking and feeling better!""""I love it! Great app! It has some really cool stuff that you can do to look better.  Download it.  It's free!""""Love it! I love this app! It's easy to use.  Very informative and very efficient. All of the tips work.  I highly recommend this app to anyone looking for some beauty tips!""""Simple! This app is so simple and has several easy beauty tips. It's a free app, and it's easy to use, just like having a small pocket beauty book at your fingertips!""Legal disclaimer: The content on this application is presented for informational purposes only. Never disregard professional medical advice from your physician or health care provider or delay in seeking it because of something you have read on this application. This application offers health information for general educational and informational purposes only. It is not the intention of this application to provide specific medical recommendation or professional advice. You should always consult with your physician or health care provider before trying any homeopathic remedies, new treatment, diet or fitness program. You should not use this information to diagnose or treat a health problem or disease without consulting with a qualified healthcare provider. You should never disregard professional medical advice or delay in seeking it because of something you have read on this application. This application provides the information content on an 'as is' and 'as available' basis. No warranty is expressed or implied that this application is a comprehensive source of information on any topic of health or otherwise. In no event shall the creator of this application be liable in any manner for any direct, incidental, consequential, indirect or punitive damages arising out of your access, use or inability to use this application, or any errors or omissions in the information on this application. The creator of this application reserves the right at any time and from time to time to add, change, modify, update, or discontinue, temporarily or permanently, this application (or any part thereof) with or without notice. The creator of this application shall not be liable to you or to any third party for any addition, modification, suspension or discontinuance of this application.","Free","Medical","7.5 MB","Michael Quach","4 and a half stars","11 Ratings","https://itunes.apple.com/us/app/beauty-tips-tricks-secrets/id328616486?mt=8""
"
