"MR X: Gay app for same-sex dating. Meet MR Right and date gay men with facial scruff.","DH Services","MR X is the first and only gay app for men over 30. The guys on MR X are real men: confident, strong, down-to-earth men who have experience in the things that matter. Whether you're over 30 — or just love grown men — it's time to meet mister right or mister right now.FEATURES- Multiple Views: More ways to view the men on your screen. See who’s nearby, who’s far away, who’s interested in you and more. Click top-left corner to see.- Adjust Views: Once you’ve chosen a view, fine-tune it to see the men you’re most interested in. Want to talk to someone right now? Sort by last login. Use the age filter to zero in even more. Customize to keep things fresh.- Better Profiles: Upload up to 25 photos to public and private galleries and spend less time sending pics back and forth. Get into detail with profile text up to 3,000 characters.- MR Right feature learns what kinds of men you like and sends you personalized introductions everyday- Matches: We'll let you know when you and another member both ""Like"" each otherMR X MENSo, what kinds of men will you meet on MR X? Suit-and-tie professionals and carefree outdoorsmen; tattooed gay guys and big hairy bears; bearded guys, bald guys, jocks, and muscle daddies. They all share the screen on MR X.MR X men are straightforward, honest and generally friendlier than guys on other apps. They’ll tell you if they’re husky or skinny, if they’re HIV-positive or negative, if they’re 52 or 25. And they’re proud of who they are. Most of our members agree to the Code, a shared set of values regarding mutual respect and safety.MR X PREMIUMGet even more features when you upgrade to our premium subscription service:- See up to seven times as many men as you would on the free version.- Online-Only Mode lets you check out only who’s logged in and ready to talk right now.- The Travel Feature allows you to pick any city and scan the MR X scene there.- Read Message Notifications let you know the second your message is seen by the recipient.- The Private Photo Bucket gives you the power to send additional photos more quickly and store your photos within MR X. That way, any risqué shots don’t have to sit in your iPhone albums where snooping friends or relatives might find them.- MR X Premium also gives you unfiltered, unlimited access to misterapp.com where you can do advanced searches on dozens of different criteria.MR X PREMIUM SUBSCRIPTIONVisit http://www.misterapp.com/app/magnum to see a list of MR X Premium features. Choose a one-month ($9.99) or three-month ($24.99) subscription. Subscriptions auto-renew until cancelled. Payment for all purchases will be charged to your iTunes account upon confirmation of your purchase. Your subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Your iTunes account will automatically be charged at the same price for renewal within 24 hours prior to the end of the current period (one month for monthly subscribers or three months for quarterly subscribers) unless you change your subscription preferences in your iTunes account settings. No cancellation of the current subscription is allowed during an active subscription period.MR X is for men over 18 years old only. Photos that display nudity or are sexually suggestive will be removed immediately. Please visit http://www.misterapp.com/mister/terms to see our terms of use and privacy policies.","Free","Social Networking","6.3 MB","DH Services","4 stars","13 Ratings","https://itunes.apple.com/us/app/mr-x-gay-app-for-same-sex/id429431089?mt=8""
"
"PowerSchool for Students","Pearson School Systems","See live attendance, assignments, scores, grades and more, right from your teachers’ grade books. Now with an easy access setup process.PARENTS! Download the PowerSchool for Parents App for real-time access to all the same data, but in a special app designed just for you.PowerSchool is the fastest-growing most widely used student information system, supported more than 13 million students in all 50 states and 72 countries.PowerSchool provides real-time access to:* Attendance* Grades* Assignments & Scores* Standards Progress* School Announcements* Teacher Comments* Grade Point Average* Lunch Transactions & Balance*** Fee Transactions & Balance* Student ActivitiesYou can also use PowerSchool to share assignments, scores and grades with your friends on Facebook or Twitter!IMPORTANT!!Your school district must be using the PowerSchool student information system. If you are not sure what student information system your school is using, contact your school and ask if they’re using PowerSchool. You can also check to see if your school or district has registered to use the app by visiting http://pearsonschoolsystems.com/products/mobile/students** PLEASE NOTEPowerSchool for Students requires PowerSchool version 7.1.3 or later* Requires iOS version 6 or higher* Access to PowerSchool is controlled by school administration* Lunch transactions are only available using the PowerLunch meal management system* Requires a wireless connection or mobile data plan","Free","Education","25.1 MB","NCS Pearson Inc. (Pearson School Systems)","4 stars","181 Ratings","https://itunes.apple.com/us/app/powerschool-for-students/id444984364?mt=8""
"
"Thuuz Sports","Thuuz Inc.","Now with support for Fantasy Football 2014Can’t watch enough great sports moments? Then Thuuz is a must have app for you. Thuuz makes sure you never miss a Patriots-Broncos game for the ages, a Lebron-fueled 4th quarter comeback, a Zimmerman no-hitter, or a Messi hat trick.- “I’m a huge fan of the app.” - TechCrunch- ""Thuuz might be the coolest app that you haven’t downloaded on your phone yet."" - Xfinity- ""All in all this is a fantastic app that blows ESPN ScoreCenter out of the water."" - Billy (user), Los Angeles…we love Billy.What makes Thuuz different than your average sports app? Thuuz rates all live and upcoming games on a scale of 0-100, making it easy for you to know exactly what to watch. You can personalize the app based on your favorite teams, sports and even your Fantasy* players so Thuuz will only alert you to the games near and dear to your heart!Then the world class TV guide** in Thuuz will tell you immediately where to watch the action. If you can't get to the TV, we'll let you know where the game is streaming on your mobile device or online. If you miss the game, you can also relive all the great moments with our links to the highlights.If you're a fan of these sports - NFL, MLB, NBA, NHL,  Men’s college football and basketball, Tennis, Golf, Soccer, Cricket and Rugby - then Thuuz has you covered. And if you play fantasy football or baseball on any of the major platforms, Thuuz helps you track when your players are having great performances and when is the right time to tune in and see a great performance. Thuuz will even let you know if your players get injured.Here are some ways big time sports fans are using Thuuz every single day as their go-to sports app:1. My sports TV guide: Check in to see what’s on TV right now2. My on-the-go sports alerts:  Know what’s going on when you’re not in front of the TV3. My Fantasy tracker:  Get alerts when your players are going off or are injured4. My buddy system: Check in to a game and alert all of your friends to what’s going on5. My time saver:  Life getting busy? Use Thuuz to optimize your sports viewing time*  Thuuz only supports Fantasy baseball and football at this time.** Thuuz currently only provides TV and online viewing information for the United States. Learn more: http://www.thuuz.com or follow us on Facebook or Twitter (@thuuz) to get real-time updates on our product, as well as what's exciting in sports.","Free","Sports","20.6 MB","Thuuz Inc.","4 and a half stars","18 Ratings","https://itunes.apple.com/us/app/thuuz-sports/id459465949?mt=8""
"
"ReverbNation for Artists","ReverbNation","Download the official ReverbNation for Artists App. Now you can update your ReverbNation artist account from your iPhone, iPad, or iPod touch. You can Manage Your Shows, Update Your Status, Check Your Stats, Collect Fan Emails, and send FanReach Emails from Anywhere.Manage your ShowsReverbNation for Artists App lets you add new shows and manage existing ones right from your mobile device! We even let you report attendance of your shows after they're over. Booking and keeping track of gigs has never been easier.Update Your StatusThe app lets you post status updates to ReverbNation, Twitter, and Facebook.Check Your StatsWith the app, you can track your Band Equity, see Fan stats like Fan Count and Fan Heat Map, and also see how often fans are listening to your songs and watching your videos.Collect Fan Emails and Send FanReach Emails from AnywhereThe ReverbNation for Artists App is deeply integrated with our signature FanReach email system. This app allows you to send emails directly to fans, see the statistics on the emails you sent and add fans directly to your FanReach email list. That’s right - no more clipboards and pens at shows to collect fan emails. Download the ReverbNation for Artist's App and you can instantly start collecting fan information on your iPhone, iPad, or iPod touch.","Free","Music","16.5 MB","Eminor Inc.","4 and a half stars","81 Ratings","https://itunes.apple.com/us/app/reverbnation-for-artists/id403836377?mt=8""
"
"UpToDate","UpToDate, Inc.","INDIVIDUAL OR INSTITUTIONAL SUBSCRIPTION REQUIRED. UpToDate® Anywhere registrants and individual subscribers can answer their clinical questions anytime, anywhere by downloading this App for iOS onto their iPad®, iPhone®, or iPod touch®.UpToDate is the leading clinical decision support resource with evidence-based clinical information – including drug topics and recommendations that clinicians rely on at the point of care.UpToDate has been the subject of over 30 research studies confirming that widespread usage of UpToDate is associated with improved patient care and hospital performance.UpToDate App for iOS Features: • Persistent login• Easy search with auto-completion• Earn and track free CME/CE/CPD credit• Bookmarks and history• Mobile-optimized medical calculators• Print and email topics or graphics to patients and colleaguesWe would love to hear your feedback. Please remember, we cannot reply to your comments in the App Store. If you have a question, please contact us at customerservice@uptodate.com. Thank you!iPad, iPhone and iPod touch are trademarks of Apple Inc, registered in the US and other countries.","Free","Medical","4.2 MB","UpToDate","3 and a half stars","385 Ratings","https://itunes.apple.com/us/app/uptodate/id334265345?mt=8""
"
"Trucker Path Pro: GPS for Trucks","Trucker Path Inc.","Trucker Path Pro - the new way to get relevant information instantly! Quickly find Truck Stops, Weigh Stations, Parking, Rest Areas, Truck Washes, Walmarts and Truck Services.The Pro version of one of the most popular apps for American truckers featured by CDL Life, Overdrive Magazine, The Trucker, The New York Times and others. Trucker Path Pro features better design, stability, functionality and is free to use.Trucker Path Pro is a logistical assistant geared towards professional truck drivers that provides detailed information about all major truck stops - number of truck parking spaces, directions, phone/fax numbers, number of scales, restaurants nearby, type of truck care provided, transflo, weather, fuel prices, etc. It also provides information about weight stations, rest areas, washes, scales, fuel stations, restaurants, hotels/motels, and allows truckers to plan routes with Trip Planner.Where are the closest truck stops like Flying Js? Who has bulk DEF? TripPak pickup times? Where is the next service dealer or tank cleaning? How about a westbound Rest area or truck turnout?Truck stops: - Flying J Travel Plazas - Loves Travel Stops - TA Travel Center - Pilot - Petro Stopping Centers - AM Best - Pacific Pride Commercial - Petro-Canada - Sapp Brothers - Roady's Truck Stops - Thousands of independents. We're constantly improving our database and functionality, stay tuned for new versions.Note: continued use of GPS running in the background can dramatically decrease battery life.","Free","Navigation","11.9 MB","Trucker Path Inc.","5 stars","117 Ratings","https://itunes.apple.com/us/app/trucker-path-pro-gps-for-trucks/id782746890?mt=8""
"
"BigOven 350,000+ Recipes and Grocery List","BigOven.com","Take over 350,000 recipes, your grocery list, and menu planner anywhere. With more than 11 million downloads, BigOven is the most complete tool to help home cooks get inspired and organized in the kitchen and on-the-go. BigOven was named one of the ""Best Apps for Foodies,"" ""Best Apps for New Moms,"" and ""Best Apps for Eating In"" by PC Magazine, TIME Magazine, and The Huffington Post and ranked ""Readers’ Choice, Best Recipe App"" in 2011-2013 on About.com.Get IdeasFind inspiration for your next meal. Access over 350,000 recipes, featured collections and menus, curated by season, holiday, course, lifestyle, diet, and more. Read reviews and ratings by fellow home cooks to help you decide what’s for dinner.  My RecipesStore all your recipes in one place. Save favorites and recipes to try. Add personal recipes or clip from your favorite sites. Grocery ListGrocery shopping made smart and easy. BigOven will convert your recipes into a simple list, sorted alphabetically and by department. Menu PlannerPlan this week’s upcoming meals. Share your menu plan via email and you’ll have it printed off and up on your refrigerator in minutes. Use Up Leftovers Use up what’s in your fridge. Type in up to three ingredients, and we’ll show you what you can make.Pro MembershipEnrich your cooking experience with an ad-free BigOven Pro membership. Find recipes that cater to your diet and lifestyle with ingredient-by-ingredient Nutrition Insight and advanced search filters. Create custom folders to store recipes for any occasion. Upload an unlimited number of recipes.","Free","Food & Drink","25.2 MB","Lakefront Software, Inc.","4 stars","15 Ratings","https://itunes.apple.com/us/app/bigoven-350-000+-recipes-grocery/id294363034?mt=8""
"
"iDo Notepad (Diary/Journal)","Neil Thomas","iDo Notepad - is a simple to use notepad application which has been written specifically for the iPad & iPhone/iPod Touch. Add as many entries as you wish, search and sort using the built in search/sort facility, assign different icons to represent different events in your notes, password security stops people peaking at your notes, delete notes no longer required, calendar allows you to select different dates for your notes.* Tab Button* Receive and export files between iDo Notepad and other enabled applications * Post notes to Twitter/Facebook or send via SMS/iMessage.You can now export your note into any other application on the device that can handle text files, simply tap the action button at the top right of the screen, if an app is installed on the device that can handle text files a list of the apps will be displayed, simply tap the app name and the file will be exported and sent to the app, As well as being able to export text files from 'iDo Notepad', the app will also handle files from other apps, as above if another app has a text type file this can be sent to 'iDo Notepad' and will be displayed on the screen, the file name will be set in the title and the note will be automatially saved within the notepad. I am committed to giving you the best app I can, if you have any ideas, comments or issues please email me at info@idonotepad.comThanks for taking the time to look at my app.RegardsNeil.Follow us now on Twitter : @idonotepad","Free","Lifestyle","4.5 MB","Neil Thomas","4 stars","15 Ratings","https://itunes.apple.com/us/app/ido-notepad-diary-journal/id363455392?mt=8""
"
"Thermometer FREE for iPhone & iPod Touch","Pinka Soft","Thermometer is the market leader, it's undoubtedly one of the most useful utility app. Anywhere around the world, you get the temperature in one second without having to setup anything. You also have informations on wind and humidity. Fast, easy to use, great design ... you know why it's famous !Thermometer works worldwide.This is undoubtedly one of the most useful applications.The application is very simple to use, run it, your location is automatically found by using the GPS of the iPhone and the temperature appears in a second with the sky condition, humidity and wind force .Temperature can be displayed in Celsius or Fahrenheit.","Free","Utilities","6.7 MB","elodie DUBUC","2 and a half stars","1327 Ratings","https://itunes.apple.com/us/app/thermometer-free-for-iphone/id418444345?mt=8""
"
"Cross DJ Free - Mix your music","MIXVIBES","The best DJ app on iPhone, downloaded by millions worldwide. Mix tracks in perfect sync on a powerful audio engine. ""The best free DJ app"" Mixmag""Feels like a quality app especially because of the good-sized buttons and the space dedicated to each feature"" Digital DJ TipsFEATURES• 2 decks, 3-band EQ, crossfader, realistic scratch, large pads & controls• Mix SoundCloud: your SC account, in Cross DJ, for free. Fast loading of tracks. • iTunes integration: sort tracks by BPM, title, artist, album or genre• Waveform view: parallel waveforms for pitch-bending + advanced beat-grid editing• Full-featured sampler: 8 pads, 72 sample banks + sample recording thru device’s mic• Record your mix and share it to SoundCloud, Facebook & Twitter.• Automix: your tracks are mixed automatically, from any source: playlist, album, etc.• Key detection of any track + accurate keylock• Quantize mode: hot cues and loops are automatically set on the beat.• Separate tabs: each deck is independent. • 14 effects: Hi & Low-Pass, Echo, Phaser, Chopper, Brake, Roll, Delay, Flanger, etc.• Plays MP3, AAC, WAV & AIFF• Loops (16 to 1/32), slip loop, 12 large hot-cues pads• Pitch: keylock, wide pitch range + pitch-bend on waveforms (2, 4, 8%)• Autosync, Autogain• Split audio: pre-listen tracks in your headphone• External mixer: control EQs and crossfader with hardware mixers• Compatible with most Bluetooth speakers• Multi-audio for USB compliant multichannel soundcard• Optimized for Retina displays, iPhone 6 & iPhone 6 plusIN-APP PURCHASES• Record & Share: HQ live recording of your mixes + share on Soundcloud• Automix: Let Cross DJ mix your tracks automatically• Advanced audio: split audio + external mixer + sound card output • Essential effects: Hi-Pass, Low-Pass, Delay• Beat effects: Transform, Brake, Roll, Chopper• Morph effects: Phaser, X-Phaser, Jet, Crush, Bliss• Sampler: 12 pads, 72 samples• Harmonic mixing: Keylock & Key detection• Value Pack: Unlock all featuresABOUT MIXVIBESMixvibes has been developing DJ apps for Mac & iOS for more than 10 years.","Free","Music","34.8 MB","MIXVIBES","4 and a half stars","25 Ratings","https://itunes.apple.com/us/app/cross-dj-free-mix-your-music/id584824960?mt=8""
"
